,artist
0,Los Hermanos
1,DUDA BEAT
2,Matuê
3,Terno Rei
4,IZA
5,Gilberto Gil
6,Skank
7,Clarice Falcão
8,Silva
9,Seu Jorge
10,PEDRO SAMPAIO
11,Xamã
12,MC Cabelinho
13,Rubel
14,FBC
15,O Terno
16,Vanguart
17,Murilo Huff
18,L7NNON
19,Os Barões Da Pisadinha
20,Letrux
21,MC Tha
22,Jaloo
23,Israel & Rodolffo
24,Banda Uó
25,Now United
26,Banda do Mar
27,MC Hariel
28,Mc Don Juan
29,Piri
30,Grupo Menos É Mais
31,Konai
32,Hugo & Guilherme
33,Japa
34,pumapjl
35,Mc Delux
36,MC WM
37,Guilherme & Benuto
38,Nattan
39,Moptop
40,Ana Castela
41,Mombojó
42,Daniela Mercury
43,Jovem Dex
44,DJ Guuga
45,Niack
46,Linearwave
47,Vitor Kley
48,ROSA NEON
49,Mc Zaac
50,MC Du Black
51,Öwnboss
52,Julio Secchin
53,Curumin
54,MC Rogerinho
55,Dfideliz
56,Mc Fioti
57,Papatinho
58,Lou Garcia
59,dubdogz
60,Simone Mendes
61,MC Ryan SP
62,Di Melo
63,Tierry
64,MC Rick
65,Valesca Popozuda
66,DJ ARANA
67,Cat Dealers
68,Chefin
69,Leozin
70,Febre90s
71,GAAB
72,Mc Pipokinha
73,Metá Metá
74,DAY LIMNS
75,Raí Saia Rodada
76,MC Kekel
77,"Francisco, el Hombre"
78,MC Henny
79,Liu
80,Nego do Borel
81,Mc Teteu
82,Gram
83,VND
84,Cidade Dormitório
85,Cibelle
86,Ludov
87,Putodiparis
88,Esteban
89,MURICA
90,MC Carol
91,DJ Gabriel Do Borel
92,Evinha
93,Akira Presidente
94,Lucas Santtana
95,Vou Pro Sereno
96,Bruno Gadiol
97,Elana Dara
98,Di Propósito
99,MC Mazzie
100,S3BZS
101,Enygma Rapper
102,Francisco el Hombre
103,Zaac
104,MC Maneirinho
105,Glue Trip
106,MC Josh
107,Pullovers
108,Baleia
109,Cambriana
110,Dingo Bells
111,Zeeba
112,Mariana Nolasco
113,Olodum
114,Dayvi
115,Darvin
116,Cidadão Instigado
117,Mano Walter
118,Felipe Original
119,Luíza & Maurílio
120,GORDÃO DO PC
121,Chemical Surf
122,Puro Suco
123,Mc Pr
124,Tono
125,Magyn
126,Chapéu de Palha
127,Vida
128,MC RD
129,Los Sebosos Postizos
130,Mc Maha
131,Russo Passapusso
132,PrimeiraMente
133,Di Ferrero
134,luqeta
135,DJ DOZABRI
136,Long beatz
137,João Gustavo e Murilo
138,Da Lata
139,Valeria Almeida
140,Dom La Nena
141,Mc Jhenny
142,Mariana Froes
143,Carlinhos Brown
144,DJ NpcSize
145,Vitroles
146,MC Gustta
147,Versos que Compomos na Estrada
148,Budah
149,Mulú
150,Thiaguinho MT
151,Jair Naves
152,R.Sigma
153,Sabonetes
154,Trupe Chá de Boldo
155,Boi Bumbá Garantido
156,DJ Blakes
157,KEMUEL
158,Soulstripper
159,MC Guto VGS
160,Preto no Branco
161,Violet Orlandi
162,Zeca Veloso
163,Viratempo
164,SonoTWS
165,Mc Talibã
166,Mateus Aleluia
167,Lil Whind
168,Suricato
169,Ana Muller
170,Young Lungs
171,Mc Bruninho
172,Brisa Star
173,Dyamante DJ
174,Luck MUZIK
175,MC Menor MT
176,Samba de Raiz
177,MC Kaique da VP
178,Hiran
179,Belle Kaffer
180,Mc leozin
181,Aldeia Records
182,dj roca
183,Hava
184,Trombone de Frutas
185,MC's Jhowzinho & Kadinho
186,dj dudah
187,MC Balakinha
188,Mar Aberto
189,DJ Henrique de Ferraz
190,Big Up
191,Ruxell
192,Nevilton
193,DJ MARCÃO 019
194,Saulo
195,Comunidade Nin-Jitsu
196,DJ BRUNINHO PZS
197,MC Bruna Alves
198,Bia & Nino
199,Israel Novaes
200,Suba
201,Lamparina e A Primavera
202,Forrozão Tropykalia
203,Mc Mari
204,Pedro Martins
205,MC Renatinho Falcão
206,Th CDM
207,Tiee
208,vinne
209,Luan Estilizado
210,Walter Franco
211,Bazar Pamplona
212,Exclusive Os Cabides
213,Thalles Roberto
214,JØRD
215,Mc J Mito
216,Felipe Cardoso DJ
217,mc saci
218,Vegas (Brazil)
219,Molho Negro
220,MC Nego da Marcone
221,Bruna Mendez
222,Cérebro Eletrônico
223,ZEZO
224,Ultramen
225,Di Paullo & Paulino
226,Pelicano
227,Cammie
228,André Prando
229,Maria Beraldo
230,Ítalo Ribeiro
231,Selton
232,Yuri Redicopa
233,Davisera
234,Any Gabrielly
235,Léo Magalhães
236,Nego Gallo
237,Barro
238,Replace
239,Patricia Marx
240,DJ ERY
241,Raphaela Santos
242,Young Mascka
243,Besouro Mulher
244,Chapeleiro
245,MC KELVINHO
246,A Turma Do Balão Mágico
247,Dônica
248,Mc menor jc
249,Dj THG
250,Dj Serpinha
251,Edy Lemond
252,Twin Pumpkin
253,Sivuca
254,Grupo Clareou
255,Luisa Mandou um Beijo
256,Biu do Piseiro
257,Afrocidade
258,Midian Lima
259,Mc Mayara
260,Mc Anônimo
261,Black Days
262,Ivo Mozart
263,Laura Souguellis
264,Marcynho Sensação
265,Sebastianismos
266,José Augusto
267,DJ GRZS
268,Mari Evangelista
269,Mc Nandinho
270,charlotte matou um cara
271,Julia Mestre
272,Passo Torto
273,Conde do Forró
274,DJ GUSTAVO DA VS
275,Davi Cíntori
276,Francisca La Braza
277,Francinne
278,Antony & Gabriel
279,MC Soffia
280,Nivaldo Marques
281,Marvvila
282,Wagner Almeida
283,BOYZINHO O REI DA BREGADEIRA
284,Saulo Duarte e a Unidade
285,DJ Erik JP
286,Nectar Gang
287,Lucas Guido
288,Zé Roberto
289,Família Madá
290,Juliano Son
291,Lula Côrtes
292,MC Juninho da VD
293,Miura Jam BR
294,Manduka
295,Fabriccio
296,DJ LA Beat
297,Matheus Who
298,Chediak
299,Simonami
300,Kassin
301,"Santanna ""O Cantador"""
302,Trio Ternura
303,Tavin
304,Leandro Borges
305,MC Nick
306,Geovanna Jainy
307,Ginge
308,Nicky Mitrava
309,Lukinhas
310,PITAYAS
311,Naldo Benny
312,Aquino e a Orquestra Invisível
313,Raken
314,Quarto Negro
315,Luca Mundaca
316,Selva
317,DJ eduardo Da Favela do Pó
318,DJ Patrick R
319,Mr. Gyn
320,BXNFXM
321,Do Amor
322,Rita Benneditto
323,Tangolo Mangos
324,Mc Naninha
325,Rio Carnaval
326,MC Rahell
327,Forro In The Dark
328,Filarmônica de Pasárgada
329,MeiaUm
330,LOFI LAND
331,Pablo Vermell
332,Florais Da Terra Quente
333,Ombu
334,MC Vitin LC
335,Tatá Aeroplano
336,Lucas e Orelha
337,MC Buzzz
338,Forró Boys
339,Lui Lorenzo
340,MC JAJAU
341,Aláfia
342,Valuá
343,João Erbetta
344,Priscila Tossan
345,Renato Enoch
346,JOÃO MAR
347,Marcello Gugu
348,DJ Guih Da ZO
349,Nêssa
350,Deekapz
351,Tiganá Santana
352,Baiano e os Novos Caetanos
353,EKENA
354,Samuca e a Selva
355,O Poeta
356,Os Incríveis
357,Clara Moreno
358,Os Parazim
359,Dan Ventura
360,Mc Gui
361,Bianca Costa
362,Taty pink
363,Israell Muniz
364,Skore
365,Kassin+2
366,Dj C4
367,Jovelina Pérola Negra
368,Os Brazões
369,A Outra Banda da Lua
370,The Martins
371,Malifoo
372,Fruto Sensual
373,Gabriel Coelho
374,GabrielMzero
375,Bruna Magalhães
376,Meu Funeral
377,Fiákra
378,Rafael Castro
379,Mc Koruja
380,Seu Jorge & Almaz
381,Caetano Veloso & Gal Costa
382,La Viela
383,Leo Justi
384,DJ P13
385,Breno & Caio Cesar
386,MC Menor Mr
387,ENZO RABELO
388,Dodô Pressão
389,Doralyce
390,Maga Bo
391,Budang
392,cyber5upremacy
393,Lu & Robertinho
394,THEUZ ZL
395,Renato Godá
396,Adriano Cintra
397,Grupo Envolvência
398,Lucas Pretti
399,Devinho Novaes
400,Ruanzinho
401,Supercolisor
402,DJ TITÍ OFICIAL
403,Tianastácia
404,Sunset Front
405,Brazilian Octopus
406,Juca Chaves
407,Marcelo Camelo e Mallu Magalhães
408,Ney Matogrosso & Pedro Luís e A Parede
409,Playmobille
410,Natália Carreira
411,Luiza Brina
412,Discopraise
413,Brais Oss
414,Caju Pra Baixo
415,DJ MAVICC
416,Jau
417,Mc Nauan
418,Rei da Cacimbinha
419,Pratt & McClain
420,Rocksted
421,GP DA ZL
422,Mariana Volker
423,Izzy La Reina
424,Amanda Sarmento
425,B-DYNAMITZE
426,Laura Schadeck
427,"Rita Lee, Roberto de Carvalho"
428,Muca
429,DJ Rafinha DZ7
430,Trio Esperança
431,mc danny
432,Fabio Góes
433,Mc Brisola
434,DJ HENRIQUE DA VK
435,Eduardo Taddeo
436,Coral Vozes Guerreiras
437,Manu Gavassi & Gloria Groove
438,Eliana Pittman
439,Apeles
440,Alessandra Leão
441,Marquinho Art'Samba
442,DJ Teixeira
443,O Amor Existe
444,Dj Duuh
445,Moreno + 2
446,Flaviola e o Bando do Sol
447,Khorus
448,Maria Luiza Jobim
449,Chico Bernardes
450,MC Xuxú
451,DuSouto
452,O Playboy
453,Livia Nery
454,Dom Um Romao
455,Renato da Rocinha
456,Grandes encontros
457,MC Elvis
458,Helio Matheus
459,Mc Japa
460,MC Kaverinha
461,Os Nonatos
462,Elis Regina & Antônio Carlos Jobim
463,DJ PAVANELLO
464,Rivets
465,PRAGAS RARE
466,Banda Líbanos
467,Deep in a Dream
468,ÀIYÉ
469,Pai Cido de Oxum
470,Vítor Fernandes
471,Tereza
472,Melanina Carioca
473,Marku Ribas
474,Awaken Love Band
475,Telma Costa
476,K o d a
477,DZP
478,Douglas Andrade
479,Tasha Tracie
480,Mariah Nala
481,Bamdamel
482,Vinícius Calderoni
483,DJ Olliver
484,Nega Duda
485,Lincoln & Duas Medidas
486,DJ Kevin
487,Mc Nando
488,Micael
489,Quinho
490,Pratagy
491,Music Falcon
492,Mc Kauan
493,João e os Poetas de Cabelo Solto
494,Alan Bernardes
495,DJ Bill
496,Pearls Negras
497,João Selva
