pagina,indice_musica,titulo_musica,nome_artista,letra,album,data_lancamento,tags,identificador
1,0,Trevo (Tu),ANAVITÓRIA,"[Letra de ""Trevo (Tu)"" por Anavitória e Tiago Iorc]

[Verso 1: Ana]
Tu
É trevo de quatro folhas, é

Manhã de domingo à toa
Conversa rara e boa
Pedaço de sonho
Que faz meu querer acordar pra vida
Ai, ai, ai

[Verso 2: Ana]
Tu
Que tem esse abraço-casa
Se decidir bater asa
Me leva contigo pra passear
Eu juro, afeto e paz não vão te faltar
Ai, ai, ai

[Refrão: Ana & Tiago]
Ah…
Eu só quero o leve da vida pra te levar
E o tempo, parar
Ah…
É a sorte de levar a hora pra passear
Pra cá e pra lá
Pra lá e pra cá
Quando aqui tu tá

[Verso 1: Ana & Tiago]
Tu
É trevo de quatro folhas, é

Manhã de domingo à toa
Conversa rara e boa
Pedaço de sonho
Que faz meu querer acordar pra vida
Ai, ai, ai

[Verso 2: Ana & Tiago]
Tu
Que tem esse abraço-casa
Se decidir bater asa
Me leva contigo pra passear
Eu juro, afeto e paz não vão te faltar
Ai, ai, ai

[Refrão: Ana & Tiago]
Ah…
Eu só quero o leve da vida pra te levar
E o tempo, parar
Ah…
É a sorte de levar a hora pra passear
Pra cá e pra lá
Pra lá e pra cá
Quando aqui tu tá

[Ponte: Vitória, Ana & Vitória]
Tu
Tu
Tu
Tu

[Refrão: Ana & Tiago]
Ah…
Eu só quero o leve da vida pra te levar
E o tempo, parar
Ah…
É a sorte de levar a hora pra passear
Pra cá e pra lá
Pra lá e pra cá
Quando aqui tu tá


[Outro: Ana & Tiago, Ana]
É trevo de quatro folhas
É trevo de quatro folhas, é
É trevo de quatro folhas
É trevo de quatro folhas, é",ANAVITÓRIA (2016),"Aug. 18, 2016","Pop,MPB (Música Popular Brasileira),Latin Music,Em Português,Brasil",Trevo (Tu) ANAVITÓRIA
1,1,Tudo que você podia ser,Milton Nascimento,"[Verso 1]
Com sol e chuva
Você sonhava
Que ia ser melhor depois
Você queria ser o grande herói das estradas
Tudo o que você queria ser


[Verso 2]
Sei um segredo
Você tem medo

Só pensa agora em voltar
Não fala mais na bota e no anel de Zapata
Tudo que você devia ser
Sem medo


[Verso 3]
Não se lembra mais de mim
Você não quis deixar que eu falasse de tudo
Tudo que você podia ser
Na estrada

[Instrumental - Refrão]

[Verso 4]
Há sol e chuva
Na sua estrada
Mas não importa, não faz mal
Você ainda pensa e é melhor do que nada
Tudo que você consegue ser
Ou nada

[Instrumental]

[Refrão]
Não importa, não faz mal
Você ainda pensa e é melhor do que nada
Tudo que você consegue ser
Ou nada


[Instrumental - Refrão]

Oh ia ia ia ia-la-la-la",Perfil (2006),"Jan. 1, 1972","Pop,Folk Pop,Sunshine Pop,MPB (Música Popular Brasileira),Seventies,Em Português,Brasil",Tudo que você podia ser Milton Nascimento
1,2,Cálice,Chico Buarque,"[Letra de ""Cálice"" com Chico Buarque & Milton Nascimento]

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse
 cálice

Pai, afasta de mim esse cálice

De vinho tinto de sangue

Pai, afasta de mim esse cálice, pai
Afasta de mim esse cálice, pai
Afasta de mim esse cálice
De vinho tinto de sangue


[Verso 1: Milton Nascimento]

Como beber dessa bebida amarga
Tragar a dor, engolir a labuta

Mesmo calada a boca, resta o peito

Silêncio na cidade não se escuta

De que me vale ser filho da santa
Melhor seria ser filho da outra

Outra realidade menos morta

Tanta mentira, tanta força bruta


[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue

[Verso 2: Chico Buarque]
Como é difícil acordar calado
Se na calada da noite eu me dano

Quero lançar um grito desumano
Que é uma maneira de ser escutado

Esse silêncio todo me atordoa

Atordoado, eu permaneço atento

Na arquibancada pra qualquer momento
Ver emergir o monstro da lagoa


[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue


[Verso 3: Milton Nascimento]
De muito gorda a porca já não anda
 (Cale-se!)
De muito usada a faca já não corta

Como é difícil, pai, abrir a porta
 (Cale-se!)
Essa palavra presa na garganta

Esse pileque homérico no mundo

De que adianta ter boa vontade?

Mesmo calado o peito, resta a cuca
Dos bêbados do centro da cidade

[Refrão: Chico Buarque & Milton Nascimento]
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
Pai, afasta de mim esse cálice
De vinho tinto de sangue


[Verso 4: Chico Buarque]
Talvez o mundo não seja pequeno (Cale-se!)
Nem seja a vida um fato consumado
 (Cale-se!)
Quero inventar o meu próprio pecado (Cale-se!)
Quero morrer do meu próprio veneno
 (Pai! Cale-se!)
Quero perder de vez tua cabeça (Cale-se!)
Minha cabeça perder teu juízo
 (Cale-se!)
Quero cheirar fumaça de óleo diesel (Cale-se!)
Me embriagar até que alguém me esqueça",Chico Buarque (1978) (1978),"Jan. 1, 1978","Rock,MPB (Música Popular Brasileira),Em Português,Brasil",Cálice Chico Buarque
1,3,Agora Eu Quero Ir,ANAVITÓRIA,"Letra de ""Agora Eu Quero Ir"" por Anavitória

[Verso 1: Ana]
Encontrei descanso em você
Me arquitetei, me desmontei
Enxerguei verdade em você
Me encaixei, verdade eu dei
Fui inteira e só pra você
Eu confiei, nem despertei
Silenciei meus olhos por você
Me atirei, precipitei
E agora?

[Refrão: Vitória, Ana & Vitória]
Agora eu quero ir
Pra me reconhecer de volta
Pra me reaprender e me apreender de novo
Quero não desmanchar com teu sorriso bobo
Quero me refazer longe de você

[Verso 2: Vitória, Ana & Vitória]
Fiz de mim descanso pra você
Te decorei, te precisei
Tanto que esqueci de me querer
Testemunhei o fim do que era agora
[Refrão: Vitória, Ana & Vitória]
Agora eu quero ir
Pra me reconhecer de volta
Pra me reaprender e me apreender de novo
Quero não desmanchar com teu sorriso bobo
Quero me refazer

[Ponte: Vitória, Ana & Vitória]
Eu que sempre quis acreditar
Que sempre acreditei que tudo volta
Nem me perguntei como voltar
Nem por quê
Agora eu quero ir, quero ir

[Refrão: Vitória, Ana & Vitória]
Agora eu quero ir
Pra me reconhecer de volta
Pra me reaprender e me apreender de novo
Quero não desmanchar com teu sorriso bobo
Quero não desmanchar com teu sorriso bobo
Quero não desmanchar
Quero me refazer longe de você",ANAVITÓRIA (2016),"Aug. 18, 2016","Pop,MPB (Música Popular Brasileira),Em Português,Brasil",Agora Eu Quero Ir ANAVITÓRIA
1,4,Porque Eu Te Amo,ANAVITÓRIA,"[Letra de ""Porque Eu Te Amo""]

[Verso 1: Ana]
Eu poderia acordar sem teu olhar de sono
Sem teu lábio que é dono
Mas eu não quero
Eu não quero
Eu poderia encantar qualquer outro par de ouvidos
Não te ter mais aqui comigo
Mas eu não quero não
Eu não quero

[Pré-Refrão: Ana]
Poderia imaginar
Ou até acostumar
O meu querer
Noutro lugar
Tanta coisa em que aqui cabe um sim, mas não

[Refrão: ANAVITÓRIA]
Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem, me tem
[Verso 2: Vitória]
Eu poderia não viver tuas primeiras rugas
Nem estar aqui pra adivinhar a tua memória em fuga
Mas eu não quero
Eu não quero
Eu poderia não lidar
Eu poderia nem ligar
Mas não, não, não
Eu não quero, não

[Pré-Refrão: Vitória]
Poderia imaginar
Ou até acostumar
O meu querer
Noutro lugar
Tanta coisa em que aqui cabe um sim, mas não

[Refrão: ANAVITÓRIA]
Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem, me tem
[Ponte: Ana, ANAVITÓRIA]
Tanta cara, tanta esquina
Tanto fogo, tanta fome, tanta rima
É tanta coisa que nem sei onde vai dar
Tanto que eu posso imaginar
Tanta falta, tanta fome, tanta pressa
Tanta, tanta, tanta
Tanta coisa em que aqui cabe um sim, mas não


[Refrão: Ana, ANAVITÓRIA]
Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem

Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem, me tem",O Tempo É Agora (2018),"Aug. 3, 2018","Pop,MPB (Música Popular Brasileira),Brasil,Em Português",Porque Eu Te Amo ANAVITÓRIA
1,5,Fica Tudo Bem,Silva & Anitta,"[Letra de ""Fica Tudo Bem"" com Silva & Anitta]

[Verso 1: Anitta & Silva]
Se você voltar pra ela
Tente não se arrepender
Vai ser difícil amar alguém
Sem se querer
Melhor fazer valer a pena
E é bem melhor se conhecer
Nas coisas do amor convém
Pagar pra ver

[Refrão: Silva & Anitta]
E fica tudo bem
Fica, fica, fica tudo bem
Fica tudo bem
Fica, fica, fica tudo bem

[Verso 2: Silva & Anitta]
Eu posso não saber de tudo
Melhor às vezes nem saber
Mas uma coisa eu sei
Ninguém vai te dizer (Te dizer)
Amigo, amar alguém a fundo
É coisa séria de querer (De querer)
Cuide de quem te quer
E cuide de você (Cuide de você)
[Refrão: Silva & Anitta]
Que fica tudo bem
Fica, fica, fica tudo bem
Fica tudo bem
Fica, fica, fica tudo bem

[Outro: Silva & Anitta]
Fica tudo bem
Fica, fica, fica tudo bem
Fica tudo bem
Fica, fica, fica tudo bem",Brasileiro (2018),"May. 29, 2018","Pop,MPB (Música Popular Brasileira),Brasil,Em Português",Fica Tudo Bem Silva & Anitta
1,6,Chão de Giz,Zé Ramalho,"[Verso 1]
Eu desço dessa solidão, espalho coisas sobre um chão de giz

Há meros devaneios tolos a me torturar

Fotografias recortadas em jornais de folhas, amiúde!

Eu vou te jogar num pano de guardar confetes
Eu vou te jogar num pano de guardar confetes


[Verso 2]
Disparo balas de canhão, é inútil, pois existe um grão-vizir

Há tantas violetas velhas sem um colibri

Queria usar, quem sabe uma camisa de força ou de vênus!

Mas não vou gozar de nós apenas um cigarro

Nem vou lhe beijar gastando assim o meu batom


[Verso 3]
Agora pego um caminhão na lona, vou a nocaute outra vez

Pra sempre fui acorrentado no seu calcanhar
Meus vinte anos de boy, that's over, baby, Freud explica!

Não vou me sujar fumando apenas um cigarro

Nem vou lhe beijar gastando assim o meu batom

Quanto ao pano dos confetes já passou meu carnaval

E isso explica porque o sexo é assunto popular


[Saída]
No mais, estou indo embora!
No mais, estou indo embora!
No mais, estou indo embora!

No mais...",Zé Ramalho (1978),1978,"Rock,MPB (Música Popular Brasileira),Folk,Em Português,Brasil",Chão de Giz Zé Ramalho
1,7,Magalenha,Sergio Mendes,"[Verso 1: Carlinhos Brown | Coro]
Vem, Magalenha Rojão
Traz a lenha pro fogão
Vem fazer armação
Hoje é um dia de sol
Alegria de coió
É curtir o verão
Vem, Magalenha Rojão
Traz a lenha pro fogão
Vem fazer armação
Hoje é um dia de sol
Alegria de coió
É curtir o verão

[Refrão: Carlinhos Brown | Coro]
Te te te te-e te
Te te te te-e te
Te te te te-e te

[Verso 2: Carlinhos Brown | Coro]
Vem, Magalenha Rojão
Traz a senha pro fogão
Te te te coração
Hoje é um dia de sol
Alegria de xodó
Meu dever de verão
Vem, Magalenha Rojão
Traz a senha pro fogão
Te te te coração
Hoje é um dia de sol
Alegria de xodó
Meu dever de verão
[Refrão: Carlinhos Brown | Coro]
Te te te te-e te
Te te te te-e te
Te te te te-e te
Te te te te-e te

[Verso 3: Carlinhos Brown | Coro]
O calangulango
Do calango da pretinha
Tô cantando essa modinha
Pra senhora se lembrar
Daquele tempo
Que vivia lá na roça
Com uma filha na barriga
E outra filha pra criar
Calangulango
Do calango da pretinha
Tô cantando essa modinha
Pra senhora se lembrar
Daquele tempo
Que vivia lá na roça
Com uma filha na barriga
E outra filha pra criar
Calangulango
Do calango da pretinha
Tô cantando essa modinha
Pra senhora se lembrar
Daquele tempo
Que vivia lá na roça
Com uma filha na barriga
E outra filha pra criar
[Refrão: Carlinhos Brown | Coro]
Te te te te-e te
Te te te te-e te
Te te te te-e te

[Verso 4: Carlinhos Brown | Coro]
Vem, Magalenha Rojão
Traz a senha pro fogão
Te te te coração
Hoje é um dia de sol
Alegria de xodó
Meu dever de verão
Vem, Magalenha Rojão
Traz a senha pro fogão
Te te te coração
Hoje é um dia de sol
Alegria de xodó
Meu dever de verão

[Refrão: Carlinhos Brown | Coro]
Te te te te-e te
Te te te te-e te
Te te te te-e te
Te te te te-e te
Te te te te-e te
Te te te te-e te
Te te te te-e te
Te te te te-e te
Te te te te-e te",Brasileiro (1992),"Jun. 17, 1992","Pop,Forró,MPB (Música Popular Brasileira),Em Português,Brasil",Magalenha Sergio Mendes
1,8,O Sol,Vitor Kley,"[Letra de ""O Sol' por Vitor Kley]

[Verso]
Ô, sol, vê se não esquece
E me ilumina, preciso de você aqui
Ô, sol, vê se enriquece
A minha melanina, só você me faz sorrir

[Pré-Refrão]
E quando você vem, tudo fica bem mais tranquilo
Ô, tranquilo
Que assim seja, amém
O seu brilho é o meu abrigo
Meu abrigo

[Refrão]
E toda vez que você sai, o mundo se distrai
Quem ficar, ficou, quem foi, vai vai
Toda vez que você sai o mundo se distrai
Quem ficar, ficou, quem foi, vai vai vai
Quem foi, vai vai vai, quem foi

[Verso]
Ô, sol, vê se não esquece
E me ilumina, preciso de você aqui
Ô, sol, vê se enriquece
A minha melanina, só você me faz sorrir
[Pré-Refrão]
E quando você vem, tudo fica bem mais tranquilo
Ô, tranquilo
Que assim seja, amém
O seu brilho é o meu abrigo
Meu abrigo

[Refrão]
E toda vez que você sai o mundo se distrai
Quem ficar, ficou, quem foi, vai vai
Toda vez que você sai o mundo se distrai
Quem ficar, ficou, quem foi, vai vai vai
Quem foi, vai vai vai, quem foi, vai vai

[Ponte]
Ô, sol, vem, aquece a minha alma e mantém a minha calma
Não esquece que eu existo e me faz ficar tranquilo
Vem, aquece a minha alma e mantém a minha calma
Não esquece que eu existo e me faz ficar tranquilo

[Refrão]
E toda vez que você sai o mundo se distrai
Quem ficar, ficou, quem foi, vai vai
Toda vez que você sai o mundo se distrai
Quem ficar, ficou, quem foi, vai vai vai
Quem foi, vai vai vai, quem foi, vai vai vai",Adrenalizou (2018),"Oct. 13, 2017","Pop,MPB (Música Popular Brasileira),Brasil,Em Português",O Sol Vitor Kley
1,9,"Brother, Father, Sister and Mother",Tim Maia,"[Letra de ""Brother, Father, Sister and Mother""]

[Verso 1]
Brother, every time I call you home
You are dancing
Sister, please don't put your children on initiation
'Cause there's no heaven
There's no God
'Cause there's no Devil
There's no Hell

[Verso 2]
Mother, every time I call you home
You are in church
Father, yeah
Every time I call you home, you are sinning
True devotion it's the way
Wake up, Africa
Now, today

[Verso 3]
Sister, every time I call you home
You are shopping
Father, yeah
Every time I call you home, you are drinking
Too many brothers in the mud
Yes, it's my dancing
Rock and roll
[Saída]
Everybody is the same
Everybody is the same
Everybody, everybody is the same
Everybody has heart and feels the pain, yeah, yeah, yeah
Everybody is the same
(Free the world, free the world)
Chinese, Japanese, Africans, Americans, Canadians, Russian, Spanish people, Italian people, Hungarians
(Free the world, free the world)
Everybody is the same
(Free the world, free the world)
Germans
(Free the world, free the world)
Everybody is the same
(Free the world, free the world)
You are not better than me
(Free the world, free the world)
And I am not better than you
(Free the world, free the world)
Everybody is the same
(Free the world, free the world)",Tim Maia (1976) (1976),"Jan. 5, 1976","Pop,MPB (Música Popular Brasileira),Brasil,Funk,Soul","Brother, Father, Sister and Mother Tim Maia"
