indice_artista,indice_musica,titulo_musica,nome_artista,letra,album,data_lancamento,tags,identificador
0,0,Trevo (Tu),ANAVITÓRIA,"[Letra de ""Trevo (Tu)"" por Anavitória e Tiago Iorc]

[Verso 1: Ana]
Tu
É trevo de quatro folhas, é

Manhã de domingo à toa
Conversa rara e boa
Pedaço de sonho
Que faz meu querer acordar pra vida
Ai, ai, ai

[Verso 2: Ana]
Tu
Que tem esse abraço-casa
Se decidir bater asa
Me leva contigo pra passear
Eu juro, afeto e paz não vão te faltar
Ai, ai, ai

[Refrão: Ana & Tiago]
Ah…
Eu só quero o leve da vida pra te levar
E o tempo, parar
Ah…
É a sorte de levar a hora pra passear
Pra cá e pra lá
Pra lá e pra cá
Quando aqui tu tá

[Verso 1: Ana & Tiago]
Tu
É trevo de quatro folhas, é

Manhã de domingo à toa
Conversa rara e boa
Pedaço de sonho
Que faz meu querer acordar pra vida
Ai, ai, ai

[Verso 2: Ana & Tiago]
Tu
Que tem esse abraço-casa
Se decidir bater asa
Me leva contigo pra passear
Eu juro, afeto e paz não vão te faltar
Ai, ai, ai

[Refrão: Ana & Tiago]
Ah…
Eu só quero o leve da vida pra te levar
E o tempo, parar
Ah…
É a sorte de levar a hora pra passear
Pra cá e pra lá
Pra lá e pra cá
Quando aqui tu tá

[Ponte: Vitória, Ana & Vitória]
Tu
Tu
Tu
Tu

[Refrão: Ana & Tiago]
Ah…
Eu só quero o leve da vida pra te levar
E o tempo, parar
Ah…
É a sorte de levar a hora pra passear
Pra cá e pra lá
Pra lá e pra cá
Quando aqui tu tá


[Outro: Ana & Tiago, Ana]
É trevo de quatro folhas
É trevo de quatro folhas, é
É trevo de quatro folhas
É trevo de quatro folhas, é",ANAVITÓRIA (2016),"Aug. 18, 2016","Pop,MPB (Música Popular Brasileira),Latin Music,Em Português,Brasil",Trevo (Tu) ANAVITÓRIA
0,1,Dengo,ANAVITÓRIA,"[Letra de ""Dengo"" por Anavitória]

[Verso 1: Vitória]
Ô, dengo, me fala tudo sobre o mundo
Que eu não consigo debater, me apresenta tuas opiniões
Deixa eu lhe convencer que tu é o ser mais bonito
Que eu tive a sorte de conhecer e agora que tá aqui comigo
Não vai mais, não

[Verso 2: Ana]
Ô, dengo, se tu prometer ficar, te canto todos os dias
Todas as alegrias que você me presentear
Juro café da manhã preparar, dar-te mil beijos pra te acordar
Me deixa cumprir, é só não ir

[Refrão: Ana & Vitória, Vitória]
É que dengo, em você encontrei o meu melhor
E não consigo amarrar um outro nó com alguém além de ti
Meu bem, não sei porque, meu dengo, eu consigo planejar
Todo um futuro do teu lado e parece tão seguro
Me envolver e sentir e querer, teu dengo

[Verso 3: Vitória, Ana, Ana & Vitória]
Se tu não quiser ficar te canto todos os dias
Todas as alegrias que não vamos compartilhar
Juro não mais tentar te encontrar
Dar-te o espaço pra me apagar, não me deixa cumprir
É só não ir
[Refrão: Ana & Vitória, Vitória]
É que dengo em você encontrei o meu melhor
E não consigo amarrar um outro nó com alguém além de ti
Meu bem, não sei porque, meu dengo, eu consigo planejar
Todo um futuro do teu lado e parece tão seguro, me envolver
E sentir e querer

[Refrão: Ana & Vitória]
É que dengo em você encontrei o meu melhor
E não consigo amarrar um outro nó com alguém além de ti
Meu bem não sei porque, meu dengo, eu consigo planejar
Todo um futuro do teu lado
E parece tão seguro
Me envolver
E sentir
E querer
Teu dengo",ANAVITÓRIA (2016),"Aug. 18, 2016","Pop,Em Português,Brasil",Dengo ANAVITÓRIA
0,2,Porque Eu Te Amo,ANAVITÓRIA,"[Letra de ""Porque Eu Te Amo""]

[Verso 1: Ana]
Eu poderia acordar sem teu olhar de sono
Sem teu lábio que é dono
Mas eu não quero
Eu não quero
Eu poderia encantar qualquer outro par de ouvidos
Não te ter mais aqui comigo
Mas eu não quero não
Eu não quero

[Pré-Refrão: Ana]
Poderia imaginar
Ou até acostumar
O meu querer
Noutro lugar
Tanta coisa em que aqui cabe um sim, mas não

[Refrão: ANAVITÓRIA]
Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem, me tem
[Verso 2: Vitória]
Eu poderia não viver tuas primeiras rugas
Nem estar aqui pra adivinhar a tua memória em fuga
Mas eu não quero
Eu não quero
Eu poderia não lidar
Eu poderia nem ligar
Mas não, não, não
Eu não quero, não

[Pré-Refrão: Vitória]
Poderia imaginar
Ou até acostumar
O meu querer
Noutro lugar
Tanta coisa em que aqui cabe um sim, mas não

[Refrão: ANAVITÓRIA]
Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem, me tem
[Ponte: Ana, ANAVITÓRIA]
Tanta cara, tanta esquina
Tanto fogo, tanta fome, tanta rima
É tanta coisa que nem sei onde vai dar
Tanto que eu posso imaginar
Tanta falta, tanta fome, tanta pressa
Tanta, tanta, tanta
Tanta coisa em que aqui cabe um sim, mas não


[Refrão: Ana, ANAVITÓRIA]
Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem

Porque eu te amo
E não consigo me ver sem ser o teu amor por anos
Não é acaso, é só amor
Não existe engano
Que me carregue pra longe
Que te faça outros planos, meu bem
Teu cheiro só tu tem
Tua boca só tu tem, me tem",O Tempo É Agora (2018),"Aug. 3, 2018","Pop,MPB (Música Popular Brasileira),Brasil,Em Português",Porque Eu Te Amo ANAVITÓRIA
0,3,Agora Eu Quero Ir,ANAVITÓRIA,"Letra de ""Agora Eu Quero Ir"" por Anavitória

[Verso 1: Ana]
Encontrei descanso em você
Me arquitetei, me desmontei
Enxerguei verdade em você
Me encaixei, verdade eu dei
Fui inteira e só pra você
Eu confiei, nem despertei
Silenciei meus olhos por você
Me atirei, precipitei
E agora?

[Refrão: Vitória, Ana & Vitória]
Agora eu quero ir
Pra me reconhecer de volta
Pra me reaprender e me apreender de novo
Quero não desmanchar com teu sorriso bobo
Quero me refazer longe de você

[Verso 2: Vitória, Ana & Vitória]
Fiz de mim descanso pra você
Te decorei, te precisei
Tanto que esqueci de me querer
Testemunhei o fim do que era agora
[Refrão: Vitória, Ana & Vitória]
Agora eu quero ir
Pra me reconhecer de volta
Pra me reaprender e me apreender de novo
Quero não desmanchar com teu sorriso bobo
Quero me refazer

[Ponte: Vitória, Ana & Vitória]
Eu que sempre quis acreditar
Que sempre acreditei que tudo volta
Nem me perguntei como voltar
Nem por quê
Agora eu quero ir, quero ir

[Refrão: Vitória, Ana & Vitória]
Agora eu quero ir
Pra me reconhecer de volta
Pra me reaprender e me apreender de novo
Quero não desmanchar com teu sorriso bobo
Quero não desmanchar com teu sorriso bobo
Quero não desmanchar
Quero me refazer longe de você",ANAVITÓRIA (2016),"Aug. 18, 2016","Pop,MPB (Música Popular Brasileira),Em Português,Brasil",Agora Eu Quero Ir ANAVITÓRIA
0,4,Cor de Marte,ANAVITÓRIA,"Letra de ""Cor de Marte"" por Anavitória

[Verso 1: Ana]
Me fita
Que eu gosto de me enxergar
Por dentro do teu olho
É tão bonito de lá
Tem cor de Marte
E teletransporte
Pra galáxia que mora em você

[Verso 2: Vitória]
Me passeia
Que eu gosto de arrepiar
Sob sua digitais
É impossível calar
É feito sorte
Me abraça forte
Tateia todo meu caminho

[Refrão: Ana & Vitória]
Me prova
Me enxerga
Me sinta
Me cheira
E se deixa em mim
Me escuta no pé do ouvido
Todos teus sentidos
Que afetam os meus
Que querem te ter
Que tu me escreveu
E mais uma vez
[Verso 3: Ana & Vitória, Ana, Vitória]
Me beija
Que eu gosto da tua textura
Do teu gosto frutado
Sorriso colado
O compasso acertado
O ritmo acelerado
Encaixado no meu

[Refrão: Ana & Vitória]
Me prova
Me enxerga
Me sinta
Me cheira
E se deixa em mim
Me escuta no pé do ouvido
Todos teus sentidos
Que afetam os meus
Que querem te ter
Que tu me escreveu
E mais uma vez

[Ponte: Ana & Vitória, Ana, Vitória]
Encontro lar
No perfume da tua nuca
Na curva do teu ombro
E no teu respirar
Nas tuas pernas
Nas mãos
Teu cabelo
E no cheiro do beijo
Que faz tu grudar
[Refrão: Ana & Vitória, Ana, Vitória]
Me prova
Me enxerga
Me sinta
Me cheira
E se deixa em mim
Me escuta no pé do ouvido
Todos teus sentidos
Que afetam os meus
Que querem te ter
Que tu me escreveu
E mais uma vez

[Refrão: Ana & Vitória]
Me prova
Me enxerga
Me sinta
Me cheira
E se deixa em mim
Me escuta no pé do ouvido
Todos teus sentidos
Que afetam os meus
Que querem te ter
Que tu me escreveu
E mais uma vez
[Outro: Ana & Vitória]
Me bordou",ANAVITÓRIA (2016),"Aug. 18, 2016","Pop,Em Português,Brasil",Cor de Marte ANAVITÓRIA
0,5,Dói Sem Tanto,ANAVITÓRIA,"[Letra de ""Dói Sem Tanto""]

[Verso 1: Vitória]
E é tão mais fácil quando
Tem você pra dormir junto
Tem pra acordar junto e viver junto
Tem você pra me contar dos seus dias seguros
Se não
Tem ausência e saudade
Tem lembrança de felicidade
Tem guarda-roupa vazio
Sem teus tons escuros


[Pré-Refrão 1: Vitória, ANAVITÓRIA]
Dói sem tanto te lembrar

Dando voltas e fazendo meu mundo bambo girar
Mal tu sabe que meu peito
Tem só falta do teu fogo
E nosso jeito torto de seguir

[Refrão 1: Vitória, ANAVITÓRIA]
Abandonando todas as defesas
Distribuindo nossas cartas em todas as mesas
Fazendo carnaval em terça-feira
Fazendo amor e dizendo besteira
[Pós-Refrão: ANAVITÓRIA]
Ai, ah
Ai, ah
Uh-uh-uh-uh, uh-uh
Ai, ah
Ah, ah

[Verso 2: Ana]
Tu me diz todo segundo
Que ser liberdade vem de dentro
Diz então
Por que tuas amarras me machucam?
Eu sei nossa verdade é bonita
Lealdade é coisa rara
Mas meu canto pede solidão pra ver o mundo

[Pré-Refrão 2: Ana, ANAVITÓRIA]
Dói sem tanto te lembrar
Dando voltas e fazendo meu mundo bambo girar
Mas tu sabe que meu peito
Cabe muito, pede um tanto
Do meu jeito torto de seguir

[Refrão 2: Vitória, ANAVITÓRIA]
Abandonando todas as defesas
Distribuindo minhas cartas em todas as mesas
Fazendo carnaval em terça-feira
Me dando amor e fazendo besteira
[Pós-Refrão: ANAVITÓRIA]
Ai, ah
Ai, ah
Me dando amor e fazendo besteira
Ai, ah
Ah, ah

[Ponte: Ana, Vitória & ANAVITÓRIA]
Não duvide do amor que tenho
É imenso e diz tanto de mim
Tuas asas são teu movimento
Quero as minhas no vento assim
Não duvide do amor que tenho
É imenso e diz tanto de mim
Tuas asas são teu movimento
Quero as minhas no vento assim


[Saída: ANAVITÓRIA]
Parararararara
Parararararaa
Parararararara
Parararara
Parararararara
Pararararaa
Parararararara
Pararararaa",O Tempo É Agora (2018),"Aug. 3, 2018","Pop,Brasil,Em Português",Dói Sem Tanto ANAVITÓRIA
0,6,Pra Me Refazer,Sandy Leah,"[Letra de ""Pra Me Refazer"" com Sandy & Anavitória]

[Verso 1: Sandy]
Sabe, amor
Eu fui sem canto pra tua direção
Tava sem voz, sem rumo, só coração
Nem sei onde é que a gente se perdeu
Ou se escondeu do nosso bem

[Verso 2: Ana]
Sabe, bem
Falar pro amor de agora que acabou
Que foi o tempo e que a lua virou
Me dói de um tanto sem tamanho

[Pré-Refrão: Sandy]
O vazio é difícil acostumar
Ainda bem que não hesitei em te abraçar
O nó afrouxa até a mão querer soltar
Mas da tua mão eu não larguei até voltar
Pra direção da tua calma, aah aah aah

[Refrão: Anavitória]
Me diz
O que é que eu faço dessa vida sem você
Quem é que vai me levantar agora?
Eu já não tenho hora pra me refazer
Então, me diz
O que é que eu faço dessa vida sem você?
Quem é que vai me levantar agora?
Eu já não tenho hora pra me refazer
[Verso 3: Sandy]
Sabe, amor
Eu fui sem canto pra tua direção
Tava sem voz, sem rumo, só coração
Nem sei onde é que a gente se perdeu

[Pré-Refrão: Vitória]
O vazio é difícil acostumar
Ainda bem que não hesitei em te abraçar
O nó afrouxa até a mão querer soltar
Mas da tua mão eu não larguei até voltar
Pra direção da tua calma, aah aah aah

[Refrão: Sandy & Ana]
Me diz
O que é que eu faço dessa vida sem você
Quem é que vai me levantar agora?
Eu já não tenho hora pra me refazer
Então, me diz
O que é que eu faço dessa vida sem você?
Quem é que vai me levantar agora?
Eu já não tenho hora pra me refazer

[Ponte: Anavitória & Sandy]
Então, volta
Me retoma, desafoga
Vem realinhar
Me estremece, me percebe, eu vou ser breve
Pra gente não esfriar
[Refrão: Sandy & Anavitória]
Me diz
O que é que eu faço dessa vida sem você
Quem é que vai me levantar agora?
Eu já não tenho hora pra me refazer
Então, me diz
O que é que eu faço dessa vida sem você?
Quem é que vai me levantar agora?
Vê se não perde a hora pra me refazer",Nós VOZ Eles (2018),"Sep. 21, 2018","Pop,Brasil,Em Português",Pra Me Refazer Sandy Leah
0,7,Tua,ANAVITÓRIA,"[Letra de ""Tua"" por Anavitória]

[Verso 1: Ana]
Teu jeito rima com o meu
O tom albino da tua pele me contrasta
Meu toque até te escolheu
Pra te fazer casa
Meu bem, tu tem minha saudade
Minha verdade, meu querer
Então se deixa ser, mais de mim ter
Mais de mim que já é
Que já tem

[Refrão: Ana & Vitória]
Eu não me importaria
De dividir um colchão com você
Dar meu cabelo pra de nós tu encher
E me afogar no teu corpo metido a travesseiro
Não contestaria
Um pedido de carinho
Teu café mais amargo
Tua toalha jogada no quarto
Nenhum traço do que é teu

[Verso 2: Vitória]
Meu jeito rima com o teu
O tom de noite da tua pele me contrasta
Teu toque até me apreendeu
Em ti fiz minha casa
Meu bem, tu tem minha saudade
Minha verdade, minhas canções
Então me deixa ser, mais de ti ter
Mais de ti que já sou
Que me deu
[Refrão: Ana & Vitória]
Eu não me importaria
De dividir um colchão com você
Dar meu cabelo pra de nós tu encher
E me afogar no teu corpo metido a travesseiro
Não contestaria
Um pedido de carinho
Teu café mais amargo
Tua toalha jogada no quarto
Nenhum traço do que é teu

[Refrão: Ana & Vitória]
Eu não me importaria
De dividir um colchão com você
Dar meu cabelo pra de nós tu encher
E me afogar no teu corpo metido a travesseiro
Não contestaria
Um pedido de carinho
Teu café mais amargo
Tua toalha jogada no quarto
Nenhum traço do que é teu

[Outro: Ana & Vitória]
Tua toalha jogada no quarto
Nenhum traço do que é teu
Tua toalha jogada no quarto",ANAVITÓRIA (2016),"Aug. 18, 2016","Pop,YouTube,Em Português,Brasil",Tua ANAVITÓRIA
0,8,Fica,ANAVITÓRIA,"[Letra de ""Fica"" por Anavitória e Matheus & Kauan]

[Verso 1: Ana, Vitória]
Mapeei a dedo tuas sardas
Contornei sem jeito tuas linhas
Que te entregam e desvendam o melhor em ti
Me perdi no céu das suas pintas
Me encontrei no céu da tua boca

Tu é labirinto, rua sem saída
Me rendi a tua alma nua, vem cá

[Pré-Refrão: Ana, Vitória]
Congela o teu olhar no meu
Esconde que já percebeu
Que todo meu amor é teu amor
Então vem cá
Que nós até Caio escreveu
Parece que nos conheceu
E mel e girassóis te peço, só te peço


[Refrão: Ana & Vitória]
Fica
Fica, me queira e queira ficar
Fica

[Verso 2: Matheus]
Mapeei a dedo tuas sardas
Viajei nas suas entrelinhas
Que te entregam e desvendam o melhor em ti
Me perdi no céu da sua boca
Me reencontrei nas suas curvas
Você é labirinto, rua sem saída
Me rendi a tua alma nua, vem cá
[Pré-Refrão: Matheus & Kauan]
Congela o teu olhar no meu
Esconde que já percebeu
Que todo meu amor é teu amor
Então vem cá
Que nós até Caio escreveu
Parece que nos conheceu
E mel e girassóis te peço, só te peço


[Refrão: Matheus & Kauan]
Fica
Fica, me queira e queira ficar
Fica

[Ponte: Matheus & Kauan]
Faz o que quiser de mim
Contando que não falte tempo pra me amar

[Refrão: Ana & Vitória]
Fica
Fica, me queira e queira ficar
Fica

[Outro: Matheus & Kauan]
Faz o que quiser de mim
Contando que não falte tempo pra me amar",ANAVITÓRIA (2016),"Apr. 18, 2017","Pop,Brasil,Em Português",Fica ANAVITÓRIA
0,9,"Amarelo, azul e branco",Anavitória & Rita Lee,"[Letra de ""Amarelo, azul e branco"" com ANAVITÓRIA feat. Rita Lee]

[Intro: Anavitória, Vitória, Ana]
Deixa eu me apresentar
Que eu acabei de chegar

Depois que me escutar
Você vai lembrar meu nome
É que eu sou dum lugar
Onde o céu molha o chão
Céu e chão gruda no pé
Amarelo, azul e branco

Deixa eu me apresentar
Que eu acabei de chegar

Depois que me escutar
Você vai lembrar meu nome
É que eu sou dum lugar
Ondе o céu molha o chão
Céu e chão gruda no pé
Amarelo, azul e branco


[Refrão: Ana, Vitória]
Eu não sеi (não sei), não sei (não sei)
Não sei diferenciar você de mim
Não sei (não sei), não sei (não sei)
Não sei diferenciar
[Interlúdio: Rita Lee]
Ao meu passado
Eu devo o meu saber e a minha ignorância
As minhas necessidades, as minhas relações
A minha cultura e o meu corpo
Que espaço o meu passado deixa para a minha liberdade hoje?
Não sou escrava dele


[Verso: Vitória, ANAVITÓRIA]
Eu vim pra te mostrar
A força que eu tenho guardado
O peito tá escancarado
E não tem medo, não, não tem medo
Eu canto pra viver
Eu vivo o que tenho cantado
A minha voz é meu império, a minha proteção
Eu vim pra te mostrar
A força que eu tenho guardado
O peito tá escancarado
E não tem medo, não, não tem medo
Eu canto pra viver
Eu vivo o que tenho cantado
A minha voz é meu império, a minha proteção

[Ponte: Ana, Vitória, ANAVITÓRIA]
Meu caminho é novo, mas meu povo não
Meu coração de fogo vem do coração do meu país
Meu caminho é novo, mas meu povo não
O norte é a minha seta, o meu eixo, a minha raiz
E quando eu canto cor
E quando eu grito cor
E quando eu espalho cor
Eu conto a minha história
[Refrão: Ana, Vitória]
Não sei (não sei), não sei (não sei)
Não sei diferenciar você de mim
Não sei (não sei), não sei (não sei)
Não sei diferenciar",COR (2021),"Jan. 1, 2021","Pop,Em Português,MPB (Música Popular Brasileira),Brasil","Amarelo, azul e branco Anavitória & Rita Lee"
